Statistical activity,N,Mean importance,% Important+,% Active use
Inferential analysis,174,2.160919540229885,0.43103448275862066,0.7298850574712644
"Supervision or validation of statistical
work carried out by others",174,2.0689655172413794,0.43103448275862066,0.7701149425287356
Descriptive analysis,174,2.0402298850574714,0.40804597701149425,0.7183908045977011
Modeling / Machine learning,174,2.0804597701149423,0.40229885057471265,0.7241379310344828
Data cleaning and preparation,174,1.9597701149425288,0.39655172413793105,0.8160919540229885
"Development or automation of statistical
tools",174,1.9540229885057472,0.3735632183908046,0.7528735632183908
