Job profile,N,"Data cleaning and
preparation",Descriptive analysis,Inferential analysis,"Modeling / Machine
learning","Development or
automation of
statistical tools","Supervision or
validation of
statistical work
carried out by
others"
Data Analyst,55,2.6545454545454548,2.709090909090909,1.3454545454545455,1.3818181818181818,1.4,1.4363636363636363
Statistician,45,2.1777777777777776,1.9555555555555555,3.8444444444444446,1.3333333333333333,1.3777777777777778,1.6444444444444444
Data Scientist / Engineer,99,1.9494949494949494,1.9393939393939394,1.9898989898989898,2.888888888888889,2.606060606060606,1.393939393939394
Manager / Supervisor,84,1.9166666666666667,1.8928571428571428,2.0952380952380953,2.011904761904762,1.8333333333333333,3.761904761904762
Generalist,17,1.1764705882352942,0.9411764705882353,0.7058823529411765,1,1.1176470588235294,0.8823529411764706
